Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Bisht, AK; Bhatt, A; Rawal, RS; Dhar, U",,,,"Bisht, Anil Kumar; Bhatt, Arvind; Rawal, R. S.; Dhar, Uppeandra",,,"Assessment of reproductive potential of different populations of Angelica glauca Edgew, a critically endangered Himalayan medicinal herb",JOURNAL OF MOUNTAIN SCIENCE,,,,Article,,,,,,,,"Angelica glauca is one of the important medicinal plants and it is widely used by indigenous communities for different purposes. The present study analyzes variability in reproductive characters of A. glauca. The reproductive parts were found having significant positive correlation with altitude (e.g., number of umbellets /umber r= 0.857, P<0.05; umbel diameter r= 0.735, P < 0.05).","[Bisht, Anil Kumar; Bhatt, Arvind; Rawal, R. S.; Dhar, Uppeandra] GB Pant Inst Himalayan Environm & Dev Kosi Katarm, Almora 263643, India",,"Bhatt, A (corresponding author), Univ Kwazulu Natal, Sch Biol & Conserv Sci, Private Bag X54001, ZA-4000 Durban, South Africa.",arvin_bhatt@rediffmail.com,,,,,,,,7.0,7.0,,,,,,,,,,,MAR,2008,5.0,1,,,,,84,90,,10.1007/s11629-008-0084-1,http://dx.doi.org/10.1007/s11629-008-0084-1,,,,,,,,,,,,2024-06-07,WOS:000254540600008,View Full Record in Web of Science
J,"Rana, K; Kumar, M; Kumar, A",,,,"Rana, Krishna; Kumar, Munesh; Kumar, Amit",,,Assessment of Annual Shoot Biomass and Carbon Storage Potential ofGrewia optiva: an Approach to Combat Climate Change in Garhwal Himalaya,WATER AIR AND SOIL POLLUTION,,,,Article,,,,,,,,"Climate change is major challenge in modern era and requires key attention to the researcher, globally. Carbon ('C') sequestering through agroforestry is one of the ways to mitigate the carbon reduction and provide safeguards to the environment for livelihood. The present study was conducted onGrewia optivatree which is dominated in agroforestry systems of Tehri Garhwal Himalaya (Uttarakhand) in different villages at three altitudes, i.e., upper altitudes (UA), middle altitude (MA), and lower altitude (LA) ranged from 500 to 1500 m amsl. Soil moisture, water holding capacity (WHC), bulk density (BD), and soil organic carbon (SOC) reported highest in LA compared to MA and UA, which might be because of all eroded material deposited in LA . Further, nitrogen storage in UA is higher due to comparatively low temperature significantly lower the microbial activities for N2O emission than MA and LA. The low nitogen in LA might be due to higher nitrification and/or denitrification rate. The same also supported by low carbon content (energy sources to microbial activity) in LA. The density ofGrewia optivain agroforestry was high in LA; however, total tree carbon was highest in MA (20.8 t/ha) followed by UA (20.4 t/ha) and LA (19.1 t/ha) while annual shoot carbon was highest in LA (2.43 t/ha) followed by MA (1.08 t/ha) and UA (0.77 t/ha). Further, carbon credit likely to be earned from the agroforestry underG. optivais estimated as 553,702 Euro. Therefore,Grewia optivais strongly recommending for agroforestry which will further help in socioeconomic development and carbon-reducing strategies in mitigating future climate.","[Rana, Krishna; Kumar, Munesh] HNB Garhwal Univ, Dept Forestry & Nat Resources, Srinagar 249161, Uttarakhand, India; [Kumar, Amit] Nanjing Univ Informat Sci & Technol, Sch Hydrol & Water Resources, Nanjing 210044, Jiangsu, Peoples R China",,"Kumar, A (corresponding author), Nanjing Univ Informat Sci & Technol, Sch Hydrol & Water Resources, Nanjing 210044, Jiangsu, Peoples R China.",muneshmzu@yahoo.com; amitkdah@nuist.edu.cn,,,,,,,,23.0,24.0,,,,,,,,,,,AUG 19,2020,231.0,9,,,,,,,450,10.1007/s11270-020-04825-2,http://dx.doi.org/10.1007/s11270-020-04825-2,,,,,,,,,,,,2024-06-07,WOS:000562287600001,View Full Record in Web of Science
J,"Hassan, M; Du, PF; Mahmood, R; Jia, SF; Iqbal, W",,,,"Hassan, Mujtaba; Du, Pengfei; Mahmood, Rashid; Jia, Shaofeng; Iqbal, Waheed",,,Streamflow response to projected climate changes in the Northwestern Upper Indus Basin based on regional climate model (RegCM4.3) simulation,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,,,,Article,,,,,,,,"In the present research, we used bias corrected output of regional climate model (RegCM4.3) to generate streamflow for future climate change projections in the Northwestern Upper Indus Basin (NUIB) under RCP4.5 and RCP8.5 scenarios. The average annual runoff was found to be continuously increasing by the end of 21st century. The increase in precipitation as well as the streamflow for summer and winter in the NUIB indicated that RegCM4.3 simulated climate change projections were realistically transferred to HEC-HMS hydrological model. Maximum streamflow peaks, both in frequency and magnitude, were observed in July and August over three streamflow gauges (i.e. Besham, Nowshera and Khairabad) posing possible threats of flood risks during the monsoon season in Pakistan. Significant streamflow changes were projected for winter and spring seasons. The analysis of flow duration curve for three hydrometric stations indicates that the flow occurrence probability could be greater under both scenarios relative to the reference period. The increase in streamflow was projected under high (Q(5)) and medium (Q(50)) flow, which could possibly be related with the increase in monsoon precipitation events in the NUIB. Overall it is to be expected that the NUIB will confront more floods as a result of projected increase in medium and high flow, which demands better policies and management towards the water resources of the NUIB. This study is expected to contribute considerably to climate change impact assessment studies over the NUIB, Pakistan.","[Hassan, Mujtaba] Inst Space Technol, Dept Space Sci, Islamabad 44000, Pakistan; [Hassan, Mujtaba; Du, Pengfei] Tsinghua Univ, Sch Environm, SKLESPC, Beijing 100084, Peoples R China; [Mahmood, Rashid; Jia, Shaofeng] Chinese Acad Sci, Key Lab Water Cycle & Related Land Surface Proc, Inst Geog Sci & Nat Resources Res, Beijing 100101, Peoples R China; [Iqbal, Waheed] Finnish Meteorol Inst, Helsinki, Finland; [Iqbal, Waheed] Stockholm Univ MISU, Dept Meteorol, SE-10691 Stockholm, Sweden",,"Hassan, M (corresponding author), Inst Space Technol, Dept Space Sci, Islamabad 44000, Pakistan.",mujtaba@ist.edu.pk; dupf@tsinghua.edu.cn,,,,,,,,17.0,17.0,,,,,,,,,,,DEC,2019,27.0,,,,,,32,49,,10.1016/j.jher.2019.08.002,http://dx.doi.org/10.1016/j.jher.2019.08.002,,,,,,,,,,,,2024-06-07,WOS:000500382200003,View Full Record in Web of Science
J,"Anbazhagan, S; Ramesh, V",,,,"Anbazhagan, Siddan; Ramesh, Veerappan",,,"Landslide hazard zonation mapping in ghat road section of Kolli hills, India",JOURNAL OF MOUNTAIN SCIENCE,,,,Article,,,,,,,,"Landslides are the most common natural disaster in hilly terrain which causes changes in landscape and damage to life and property. The main objective of the present study was to carry out landslide hazard zonation mapping on 1:50,000 scale along ghat road section of Kolli hills using a Landslide Hazard Evaluation Factor (LHEF) rating scheme. The landslide hazard zonation map has been prepared by overlaying the terrain evaluation maps with facet map of the study area. The terrain evaluation maps include lithology, structure, slope morphometry, relative relief, land use and land cover and hydrogeological condition. The LHEF rating scheme and the Total Estimated Hazard (TEHD) were calculated as per the Bureau of Indian Standard (BIS) guidelines (IS: 14496 (Part-2) 1998) for the purpose of preparation of Landslide Hazard Zonation (LHZ) map in mountainous terrains. The correction due to triggering factors such as seismicity, rainfall and anthropogenic activities were also incorporated with Total Estimated Hazard to get final corrected TEHD. The landslide hazard zonation map was classified as the high, moderate and low hazard zones along the ghat road section based on corrected TEHD.","[Anbazhagan, Siddan; Ramesh, Veerappan] Periyar Univ, Dept Geol, Ctr Geoinformat & Planetary Studies, Salem 636011, Tamil Nadu, India",,"Anbazhagan, S (corresponding author), Periyar Univ, Dept Geol, Ctr Geoinformat & Planetary Studies, Salem 636011, Tamil Nadu, India.",anbu02@gmail.com; rameshremote@gmail.com,,,,,,,,23.0,23.0,,,,,,,,,,,SEP,2014,11.0,5,,,,,1308,1325,,10.1007/s11629-012-2618-9,http://dx.doi.org/10.1007/s11629-012-2618-9,,,,,,,,,,,,2024-06-07,WOS:000342223500018,View Full Record in Web of Science
J,"Sangeeta; Singh, SK",,,,"Sangeeta; Singh, S. K.",,,"Influence of anthropogenic activities on landslide susceptibility: A case study in Solan district, Himachal Pradesh, India",JOURNAL OF MOUNTAIN SCIENCE,,,,Article,,,,,,,,"Landslides in the Himalayan region are primarily controlled by natural parameters, including rainfall, seismic activity, and anthropogenic parameters, such as the construction of large-scale projects like road development, tunneling and hydroelectric power projects and climate change. The parameters which are more crucial among these are a matter of scientific study and analysis. This research, taking Solan district, Himachal Pradesh, India, as the study area, aims to assess the impact of anthropogenic activities on landslide susceptibility at a regional scale. Landslide distribution was characterized into two groups, namely Rainfall-Induced Landslide (RIL) and Human-Induced Landslide (HIL) based on triggering factors. Multiple data such as slope angle, aspect, profile curvature, distance to drainage, distance to lineament, lithology, distance to road, normalized difference vegetation index (NDVI) and land use land cover (LULC) have been considered for delineating the landslide susceptibility zonation (LSZ) map. The effect of anthropogenic activities on landslide occurrences has been examined through the distribution of landslides along national highways and land use land cover changes (LULCC). Two sets of LSZ maps with a LULC of time interval covering five years (2017 & 2021) were prepared to compare the temporal progression of LULC and landslide susceptibility during the five years. The results indicated the significant impact of anthropogenic activities on the landslide susceptibility. LSZ map of the year 2021 shows that 23% area falls into high and very high susceptible classes and 48% area falls into very low and low susceptibility classes. Compared to LSZ map of 2017, high and very high susceptible classes have been increased by 15%, whereas very low and low susceptible classes have been reduced by 7%. The present case study will help to understand the potential driving parameters responsible for HIL and also suggest the inclusion of LULC in landslide susceptibility analysis. The study will demonstrate new opportunities for research that could help decision-makers prepare for future disasters, both in the Indian Himalayan region and other areas.","[Sangeeta; Singh, S. K.] Punjab Engn Coll, Dept Civil Engn, Chandigarh 16012, India",,"Sangeeta (corresponding author), Punjab Engn Coll, Dept Civil Engn, Chandigarh 16012, India.",sangeeta546@gmail.com; sksingh@pec.edu.in,,,,,,,,9.0,9.0,,,,,,,,,,,FEB,2023,20.0,2,,,,,429,447,,10.1007/s11629-022-7593-1,http://dx.doi.org/10.1007/s11629-022-7593-1,,,,,,,,,,,,2024-06-07,WOS:000924142300011,View Full Record in Web of Science
J,"Hamid, M; Khuroo, AA; Malik, AH; Ahmad, R; Singh, CP",,,,"Hamid, Maroof; Khuroo, Anzar Ahmad; Malik, Akhtar Hussain; Ahmad, Rameez; Singh, Chandra Prakash",,,Assessment of alpine summit flora in Kashmir Himalaya and its implications for long-term monitoring of climate change impacts,JOURNAL OF MOUNTAIN SCIENCE,,,,Article,,,,,,,,"In an era of climate change, the availability of empirical data on alpine summit vegetation in the Himalaya is still scarce. Here we report the assessment of alpine summit flora in Gulmarg Wildlife Sanctuary, Kashmir Himalaya. We employed a globally standardized Multi-Summit Approach and four spatially isolated summits spanning an elevation gradient of 210 m (between 3530-3740 m a.s.l.) from natural treeline to nival zone. Sampling of the summits was carried out in the year 2018 to collect floristic data together with records of soil temperature. A total of 142 vascular plant species were recorded in the sampled summits. Majority of the species were of herbaceous growth form and with perennial life span. Based on Raunkiaer's life form, hemicryptophytes were the most dominant followed by therophytes and phanerophytes. The summit flora showed the predominance of narrow-endemic species, with broad- and non-endemics declining with elevation. A significant relationship between growth form, Raunkiaer's life form, and the degree of endemism with elevation was observed. Both species diversity and soil temperature showed a monotonic decrease with increasing elevation. Interestingly, soil temperature clearly determined the magnitude of species diversity on the summits. Furthermore, based on floristic composition, the lowest summit had the highest dissimilarity with the rest of the summits. The present study employed globally standardized protocol to scientifically assess the patterns of plant diversity on the alpine mountain summits of Kashmir Himalaya, which in turn has wide implications towards long-term monitoring of climate change impact on alpine biodiversity in the rapidly warming Himalaya.","[Hamid, Maroof; Khuroo, Anzar Ahmad; Malik, Akhtar Hussain; Ahmad, Rameez] Univ Kashmir, Ctr Biodivers & Taxon, Dept Bot, Srinagar 190006, J&K, India; [Singh, Chandra Prakash] Indian Space Res Org, Space Applicat Ctr, Ahmadabad 380015, Gujarat, India",,"Hamid, M (corresponding author), Univ Kashmir, Ctr Biodivers & Taxon, Dept Bot, Srinagar 190006, J&K, India.",hamidmaroofmudasir@gmail.com; anzarak@gmail.com; ecoakhtar@gmail.com; rameezkhuroo929@gmail.com; cpsingh@sac.isro.gov.in,,,,,,,,18.0,18.0,,,,,,,,,,,AUG,2020,17.0,8,,,,,1974,1988,,10.1007/s11629-019-5924-7,http://dx.doi.org/10.1007/s11629-019-5924-7,,JUL 2020,,,,,,,,,,2024-06-07,WOS:000548813000003,View Full Record in Web of Science
J,"Singh, V; Jain, SK; Goyal, MK",,,,"Singh, Vishal; Jain, Sanjay Kumar; Goyal, Manish Kumar",,,An assessment of snow-glacier melt runoff under climate change scenarios in the Himalayan basin,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,,,Article,,,,,,,,"In this study, a coupled and improved snow-glacier runoff modeling framework has been presented, which aims to separate the snowmelt runoff from glaciated and non-glaciated areas. To fulfil the above objective, the two hydrological models such as the conceptual Glacier-hydrological Model (GSM-SOCONT) and Soil & Water Assessment Tool (SWAT) have been used over the Teesta river Himalayan catchments. The temperature index model (TIM) based degree-day approach (DDA) in GSM-SOCONT model has been modified and radiation components were added. The R-2 values computed between observed and modeled discharge (1991-2005) was improved from 0.55 to 0.63 after adding the radiation components. Initially, SWAT model has been used for the simulation, calibration, and optimization of the various snowmelt hydrology parameters. Then, SWAT model based optimized parameters and outcomes were used as inputs to set up the GSM-SOCONT model. After simulating/separating snow melts from glaciated and non-glaciated areas, the optimized snow-glacier parameters from the improved GSM-SOCONT (1991-2005) were re-input to the SWAT for the projection of snowmelt scenarios (2008-2100) utilizing the downscaled Coupled Model Intercomparison Project Phase 5 (CMIP5) Global Circulation Models (GCMs) datasets. The snow water equivalent (SWE) reconstructed for the year 2005 from the MODIS satellite snow covers (i.e. ranges from 80 to 138 mm) found comparable to the SWAT generated SWE (i.e. ranges from 86 to 115 mm). Based on the future projections of snowmelt, the earlier snow-melting or shifts have been observed in extreme high and low elevation areas of the Sikkim Himalaya.","[Singh, Vishal; Jain, Sanjay Kumar] Natl Inst Hydrol, Water Resources Syst Div, Roorkee 247667, Uttarakhand, India; [Goyal, Manish Kumar] Indian Inst Technol Indore, Discipline Civil Engn, Indore 453331, Madhya Pradesh, India",,"Singh, V (corresponding author), Natl Inst Hydrol, Water Resources Syst Div, Roorkee 247667, Uttarakhand, India.",shalu.ashu50@gmail.com,,,,,,,,13.0,14.0,,,,,,,,,,,OCT,2021,35.0,10,,,,,2067,2092,,10.1007/s00477-021-01987-1,http://dx.doi.org/10.1007/s00477-021-01987-1,,FEB 2021,,,,,,,,,,2024-06-07,WOS:000618583000001,View Full Record in Web of Science
J,"Tripathee, L; Kang, SC; Rupakheti, D; Zhang, QG; Bajracharya, RM; Sharma, CM; Huang, J; Gyawali, A; Paudyal, R; Sillanpää, M",,,,"Tripathee, Lekhendra; Kang, Shichang; Rupakheti, Dipesh; Zhang, Qianggong; Bajracharya, Roshan Man; Sharma, Chhatra Mani; Huang, Jie; Gyawali, Ayush; Paudyal, Rukumesh; Sillanpaa, Mika",,,"Spatial distribution, sources and risk assessment of potentially toxic trace elements and rare earth elements in soils of the Langtang Himalaya, Nepal",ENVIRONMENTAL EARTH SCIENCES,,,,Article,,,,,,,,"Soils in the fragile Himalayan region could be affected by the transport and deposition of potentially toxic trace metals (PTEs) from urban and industrialized areas of South Asia. The transported pollutants could pose a serious threat to the soil quality in the pristine regions at high elevations having minimal direct human influence. Therefore, it is important to understand the geochemical and physical characteristics of soils in this region and determine the extent of their chemical pollution. In order to achieve these objectives, soil samples were collected from different elevation transects of the Langtang Himalaya in Nepal. The samples were analyzed for PTEs and rare earth elements for the purpose of identifying their possible sources and to evaluate their environmental risk in the region. The PTEs and REEs concentrations were measured by ICP-MS (X-7; Thermo-elemental, USA) and total organic carbon (TOC) by TOC analyzer. The results of this study were comparable to those of the world average background soil as well as the Tibetan plateau surface soil. TOC revealed a decreasing trend with increasing elevation. Correlation analysis and principle component analysis (PCA) indicated that most of the elements were highly associated with major crustal elements, suggesting that their primary sources were of natural origin. Furthermore, the geo-accumulation index (I-geo), enrichment factor (EF) and pollution index (PI) analyses indicated that the Himalayan soils represent minimal pollution and the data from this study may be used as background values for the Himalayan region in the future studies. REEs in the soil samples were found to be consistent with an order of average abundance of the Earth's crust. In addition, the chondrite-normalized REE distribution of the light REE suggested enrichment of LREE and Eu depletion. Moreover, this study emphasized that soils of the Himalayan region could, in future, be under threat of elemental pollution from long-range transport via atmospheric circulation and deposition.","[Tripathee, Lekhendra; Kang, Shichang; Paudyal, Rukumesh] Chinese Acad Sci, Northwest Inst Ecoenvironm & Resources, State Key Lab Cryospher Sci, Lanzhou 730000, Peoples R China; [Kang, Shichang; Zhang, Qianggong] CAS Ctr Excellence Tibetan Plateau Earth Sci, Beijing 100085, Peoples R China; [Tripathee, Lekhendra; Sharma, Chhatra Mani; Paudyal, Rukumesh] Himalayan Environm Res Inst, Kathmandu, Nepal; [Rupakheti, Dipesh; Zhang, Qianggong; Huang, Jie] Chinese Acad Sci, Inst Tibetan Plateau Res, Key Lab Tibetan Environm Changes & Land Surface P, Beijing 100101, Peoples R China; [Bajracharya, Roshan Man; Sharma, Chhatra Mani; Gyawali, Ayush] Kathmandu Univ, Dept Environm Sci & Engn, Dhulikhel, Nepal; [Tripathee, Lekhendra; Sharma, Chhatra Mani; Huang, Jie; Sillanpaa, Mika] Lappeenranta Univ Technol, Lab Green Chem, Sammonkatu 12, Mikkeli 50130, Finland",,"Kang, SC (corresponding author), Chinese Acad Sci, Northwest Inst Ecoenvironm & Resources, State Key Lab Cryospher Sci, Lanzhou 730000, Peoples R China.;Kang, SC (corresponding author), CAS Ctr Excellence Tibetan Plateau Earth Sci, Beijing 100085, Peoples R China.",Shichang.kang@lzb.ac.cn,,,,,,,,41.0,42.0,,,,,,,,,,,OCT,2016,75.0,19,,,,,,,1332,10.1007/s12665-016-6140-1,http://dx.doi.org/10.1007/s12665-016-6140-1,,,,,,,,,,,,2024-06-07,WOS:000385135100033,View Full Record in Web of Science
J,"Rai, SC; Gurung, A",,,,"Rai, SC; Gurung, A",,,Raising awareness of the impacts of climate change: Initial steps in shaping policy in Nepal,MOUNTAIN RESEARCH AND DEVELOPMENT,,,,Article,,,,,,,,"Climate change is happening and people have begun to feel its impacts on their daily lives. Clear indications of these impacts can be seen on Himalayan glaciers, which are melting at rapid rates and consequently form massive glacial takes (Figure 1), with a risk of catastrophic glacial lake outburst floods (GLOFs). GLOFs result in loss of lives, property, and costly infrastructure, as well as displacement of local people. They represent a particular threat in Nepal, where resources are already scarce. In least developed countries (LDCs) like Nepal, where poverty reduction is a national priority, the impact of climate change appears to be an obstacle to the process of sustainable development. Institutionalizing the climate change issue in national policies has now become an urgent need rather than a choice. As a signatory to the United Nations Framework Convention on Climate Change (UNFCCC), Nepal has agreed to take climate change considerations into account in its national development agenda. The first step was the ratification of the Kyoto Protocol; the second is building the necessary institutional services such as a Designated National Authority (DNA), which is in the process of establishment. Moreover, climate change policies and strategies, the interconnections between different sectors, and coordination among different line ministries and government departments are issues to be addressed in the near future. WWF has initiated a Climate Witness Project to raise national and international awareness, and supports national efforts to shape adequate institutional responses to climate change.","WWF Nepal Program, Kathmandu, Nepal",,"Rai, SC (corresponding author), WWF Nepal Program, POB 7660, Kathmandu, Nepal.",sandeep.rai@wwfnepal.org; aarati.gurung@wwfnepal.org,,,,,,,,12.0,12.0,,,,,,,,,,,NOV,2005,25.0,4,,,,,316,320,,10.1659/0276-4741(2005)025[0316:RAOTIO]2.0.CO;2,http://dx.doi.org/10.1659/0276-4741(2005)025[0316:RAOTIO]2.0.CO;2,,,,,,,,,,,,2024-06-07,WOS:000234232200005,View Full Record in Web of Science
J,"Singh, H; Kumar, N; Singh, R; Kumar, M",,,,"Singh, Hukum; Kumar, Narendra; Singh, Ranjeet; Kumar, Manoj",,,Assessing the climate change impact on the habitat suitability of the range-restricted bird species (Catreus wallichii) in the Indian Himalayan ecosystem,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,,,,Article,,,,,,,,"Climate change profoundly impacts ecosystems' function and composition, changing living organisms' habitats. The Indian Himalayan ecosystem (IHE) is particularly susceptible and vulnerable to the effects of climate change. However, our understanding of how climate change affects the habitats of range-restricted and vulnerable avifauna in the IHE still needs to be improved. Hence, we employed ensemble species distribution modelling to examine the potential habitat shift of the cheer pheasant (Catreus wallichii) under climate change scenarios (representative concentration pathways, RCPs) i.e. RCP 4.5, RCP 6.0 and RCP 8.5) by 2050 and 2070. The study revealed a noticeable expansion of climatically suitable habitats, indicating a shift towards higher altitudes that would become more favourable and suitable under future climates. The model predicted an area of very highly suitable habitat (1247.4 km(2)), followed by highly suitable (2747.9 km(2)), moderately suitable (4002.3 km(2)), low suitable (4952.2 km(2)) and rarely suitable (4236 km(2)) in the current scenario. The projection of larger areas was falling into the no change, followed by the high suitable and low suitable classes, for both the years 2050 and 2070 across all the RCPs. Furthermore, the projections indicated a consistent trend of increasing suitability for the cheer pheasant at higher elevations and a decline at lower elevations across RCPs for 2050 and 2070. Moreover, the mean diurnal temperature range was identified as the crucial driving factor, followed by isothermally and precipitation, influencing the species' shift towards suitable habitats at higher altitudes. The study can aid policymakers in developing effective conservation strategies to protect Himalayan range-restricted bird species in the face of climate change.","[Singh, Hukum; Kumar, Narendra; Kumar, Manoj] Forest Res Inst, PO New Forest, Dehra Dun 248006, Uttarakhand, India; [Singh, Ranjeet] GB Pant Natl Inst Himalayan Environm, Itanagar 791113, Arunachal Prade, India",,"Singh, H (corresponding author), Forest Res Inst, PO New Forest, Dehra Dun 248006, Uttarakhand, India.",hukumsingh97@yahoo.com; narendra.physiol@gmail.com; ranaranjeet92@yahoo.com; manojfri@gmail.com,,,,,,,,0.0,0.0,,,,,,,,,,,DEC,2023,30.0,57,,,,,121224,121235,,10.1007/s11356-023-30789-x,http://dx.doi.org/10.1007/s11356-023-30789-x,,,,,,,,,,,,2024-06-07,WOS:001138053600076,View Full Record in Web of Science
J,"Sparks, AH; Forbes, GA; Hijmans, RJ; Garrett, KA",,,,"Sparks, Adam H.; Forbes, Gregory A.; Hijmans, Robert J.; Garrett, Karen A.",,,Climate change may have limited effect on global risk of potato late blight,GLOBAL CHANGE BIOLOGY,,,,Article,,,,,,,,"Weather affects the severity of many plant diseases, and climate change is likely to alter the patterns of crop disease severity. Evaluating possible future patterns can help focus crop breeding and disease management research. We examined the global effect of climate change on potato late blight, the disease that caused the Irish potato famine and still is a common potato disease around the world. We used a metamodel and considered three global climate models for the A2 greenhouse gas emission scenario for three 20-year time-slices: 2000-2019, 2040-2059 and 2080-2099. In addition to global analyses, five regions were evaluated where potato is an important crop: the Andean Highlands, Indo-Gangetic Plain and Himalayan Highlands, Southeast Asian Highlands, Ethiopian Highlands, and Lake Kivu Highlands in Sub-Saharan Africa. We found that the average global risk of potato late blight increases initially, when compared with historic climate data, and then declines as planting dates shift to cooler seasons. Risk in the agro-ecosystems analyzed, varied from a large increase in risk in the Lake Kivu Highlands in Rwanda to decreases in the Southeast Asian Highlands of Indonesia.","[Sparks, Adam H.; Garrett, Karen A.] Kansas State Univ, Dept Plant Pathol, Throckmorton Plant Sci Ctr 4024, Manhattan, KS 66506 USA; [Sparks, Adam H.] IRRI, Los Banos 4031, Laguna, Philippines; [Forbes, Gregory A.] Int Potato Ctr, Beijing 100081, Peoples R China; [Hijmans, Robert J.] Univ Calif Davis, Dept Environm Sci & Policy, Davis, CA 95616 USA",,"Sparks, AH (corresponding author), Kansas State Univ, Dept Plant Pathol, Throckmorton Plant Sci Ctr 4024, Manhattan, KS 66506 USA.",a.sparks@irri.org,,,,,,,,55.0,62.0,,,,,,,,,,,DEC,2014,20.0,12,,,,,3621,3631,,10.1111/gcb.12587,http://dx.doi.org/10.1111/gcb.12587,,,,,,,,,,,,2024-06-07,WOS:000344375700007,View Full Record in Web of Science
J,"Swarnkar, S; Tripathi, S; Sinha, R",,,,"Swarnkar, Somil; Tripathi, Shivam; Sinha, Rajiv",,,Understanding hydrogeomorphic and climatic controls on soil erosion and sediment dynamics in large Himalayan basins,SCIENCE OF THE TOTAL ENVIRONMENT,,,,Article,,,,,,,,"The Himalayan basins are characterised by severe soil erosion rates and several basins are among the largest sediment dispersal systems in the world. Unsustainable agricultural activities increase the soil erosion rates and influence the overall hydro-geomorphic regime of river basins. Consequently, the water holding capacity of soil reduces, which enhances the flood risk in the lowland regions. In addition, excessive sediment flux severely affects the reservoir capacity in the mountainous regions, thus amplifying the flood hazard in the upland regions. Here, we have analysed two large and hydro-geomorphically diverse Himalayan River basins, namely, the Ganga Basin (GBA) from source to Allahabad in northern India and the Kosi Basin (KB) draining through Nepal and north Bihar plains in eastern India. Based on RULSE and region-specific SDR modelling framework, which includes model calibration, validation and uncertainty assessment, we demonstrate that spatial variation in rainfall, hydrogeomorphic conditions, the presence of hydraulic structures, and large-scale agricultural activities influence the overall pattern of sediment production and transport in these two large river basins. Total soil erosion in GBA and KB are estimated to be similar to 404 x 10(6) t/y and similar to 724 x 10(6) t/y respectively, a large part of which comes from the mountainous regions in both basins. Sediment yield at the mountain exits of the GBA and KB are computed as 14.1 x 10(6) t/y and 86.4 x 10(6) t/y respectively, which work out to be similar to 5% and similar to 15% of total soil erosion from the respective contributing areas of the KB and GBA respectively. Similarly, sediment yields at outlets in the alluvial plains are estimated to be 32.2 x 10(6) t/y and 37.3 x 10(6) t/y in the GBA and the KB, respectively suggesting that a large part of sediments are accommodated in the alluvial plains of KB. These results have significant implications for sediment management in the Himalayan River basins. (C) 2021 Elsevier B.V. All rights reserved.","[Swarnkar, Somil; Sinha, Rajiv] Indian Inst Technol Kanpur, Dept Earth Sci, Kanpur 208016, Uttar Pradesh, India; [Swarnkar, Somil] Indian Inst Sci Bangalore, Interdisciplinary Ctr Water Res, Bangalore 560012, Karnataka, India; [Tripathi, Shivam] Indian Inst Technol Kanpur, Dept Civil Engn, Kanpur 208016, Uttar Pradesh, India",,"Sinha, R (corresponding author), Indian Inst Technol Kanpur, Dept Earth Sci, Kanpur 208016, Uttar Pradesh, India.",rsinha@iitk.ac.in,,,,,,,,8.0,8.0,,,,,,,,,,,NOV 15,2021,795.0,,,,,,,,148972,10.1016/j.scitotenv.2021.148972,http://dx.doi.org/10.1016/j.scitotenv.2021.148972,,JUL 2021,,,,,,,,,,2024-06-07,WOS:000697004100003,View Full Record in Web of Science
